                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.52243,                 0.3893,                 1.1346,                0.74272,                0.78736,                0.80451,                0.60651,                    nan,                    nan,                    nan,             9.6902e-05,             9.6902e-05,             9.6902e-05
                     38,                0.50818,                0.38004,                 1.1206,                0.73144,                0.80095,                0.80634,                0.60312,                    nan,                    nan,                    nan,             9.0442e-05,             9.0442e-05,             9.0442e-05
                     39,                0.51285,                0.38158,                 1.1285,                0.72337,                0.75927,                0.79307,                 0.5999,                    nan,                    nan,                    nan,             8.3982e-05,             8.3982e-05,             8.3982e-05
                     40,                0.50829,                0.37872,                 1.1294,                  0.728,                0.81469,                0.80294,                0.60573,                    nan,                    nan,                    nan,             7.7522e-05,             7.7522e-05,             7.7522e-05
                     41,                 0.4954,                 0.3698,                 1.1161,                0.73877,                0.79873,                0.81088,                0.61241,                    nan,                    nan,                    nan,             7.1063e-05,             7.1063e-05,             7.1063e-05
                     42,                0.48453,                0.35773,                 1.1141,                0.77638,                0.79873,                0.80425,                0.61925,                    nan,                    nan,                    nan,             6.4603e-05,             6.4603e-05,             6.4603e-05
                     43,                0.47926,                0.36113,                 1.1044,                0.77253,                0.79401,                 0.8014,                0.61142,                    nan,                    nan,                    nan,             5.8143e-05,             5.8143e-05,             5.8143e-05
                     44,                0.48171,                0.35331,                 1.1073,                0.78699,                0.80613,                0.80057,                0.61851,                    nan,                    nan,                    nan,             5.1683e-05,             5.1683e-05,             5.1683e-05
                     45,                0.48171,                0.35141,                 1.1102,                0.74536,                0.79668,                0.80199,                0.61258,                    nan,                    nan,                    nan,             4.5223e-05,             4.5223e-05,             4.5223e-05
                     46,                0.47822,                0.34302,                 1.1028,                0.76308,                0.81148,                0.80353,                0.60102,                    nan,                    nan,                    nan,             3.8763e-05,             3.8763e-05,             3.8763e-05
                     47,                0.46629,                0.33904,                  1.092,                0.74942,                0.81228,                 0.8083,                0.61544,                    nan,                    nan,                    nan,             3.2303e-05,             3.2303e-05,             3.2303e-05
                     48,                0.46257,                0.33836,                 1.0909,                0.75479,                0.80095,                0.80373,                0.60461,                    nan,                    nan,                    nan,             2.5843e-05,             2.5843e-05,             2.5843e-05
                     49,                0.46635,                 0.3374,                 1.0885,                0.77171,                0.80095,                0.80193,                0.60748,                    nan,                    nan,                    nan,             1.9383e-05,             1.9383e-05,             1.9383e-05
                     50,                0.45549,                0.32982,                 1.0855,                0.74912,                 0.8122,                0.80184,                0.60888,                    nan,                    nan,                    nan,             1.2923e-05,             1.2923e-05,             1.2923e-05
